Run_Number,Score,Cost,Planning_Units,Connectivity,Connectivity_Total,Connectivity_In,Connectivity_Edge,Connectivity_Out,Connectivity_In_Fraction,Penalty,Shortfall,Missing_Values,MPM
1,3247785134,3247785134,23577,1680600,10170000,3875100,1680600,4614300,0.381032,0,0,0,1
2,3233116159,3233116159,23576,1679200,10170000,3875600,1679200,4615200,0.381082,0,0,0,1
3,3269723910,3269723910,23530,1694200,10170000,3858900,1694200,4616900,0.37944,0,0,0,1
4,3247850054,3247850054,23503,1678200,10170000,3861500,1678200,4630300,0.379695,0,0,0,1
5,3238932611,3238932611,23552,1684000,10170000,3868400,1684000,4617600,0.380374,0,0,0,1
6,3245012148,3245012148,23547,1694800,10170000,3862000,1694800,4613200,0.379744,0,0,0,1
7,3246458399,3246458399,23531,1685000,10170000,3863700,1685000,4621300,0.379912,0,0,0,1
8,3228382178,3228382178,23551,1676600,10170000,3871900,1676600,4621500,0.380718,0,0,0,1
9,3252554271,3252554271,23525,1684800,10170000,3862600,1684800,4622600,0.379803,0,0,0,1
10,3237789822,3237789822,23546,1689000,10170000,3864700,1689000,4616300,0.38001,0,0,0,1
11,3221672324,3221672324,23546,1666600,10170000,3875900,1666600,4627500,0.381111,0,0,0,1
12,3256001941,3256001941,23491,1677400,10170000,3859500,1677400,4633100,0.379499,0,0,0,1
13,3228779028,3228779028,23577,1672000,10170000,3879400,1672000,4618600,0.381455,0,0,0,1
14,3236837588,3236837588,23518,1712000,10170000,3847600,1712000,4610400,0.378328,0,0,0,1
15,3241284382,3241284382,23586,1693200,10170000,3870600,1693200,4606200,0.38059,0,0,0,1
16,3232005675,3232005675,23568,1673200,10170000,3877000,1673200,4619800,0.381219,0,0,0,1
17,3246794307,3246794307,23559,1690400,10170000,3866600,1690400,4613000,0.380197,0,0,0,1
18,3251997015,3251997015,23540,1687800,10170000,3864100,1687800,4618100,0.379951,0,0,0,1
19,3238495762,3238495762,23576,1680000,10170000,3875200,1680000,4614800,0.381042,0,0,0,1
20,3241638797,3241638797,23523,1679200,10170000,3865000,1679200,4625800,0.380039,0,0,0,1
21,3233382872,3233382872,23530,1670800,10170000,3870600,1670800,4628600,0.38059,0,0,0,1
22,3263108577,3263108577,23550,1690400,10170000,3864800,1690400,4614800,0.38002,0,0,0,1
23,3266123832,3266123832,23502,1689400,10170000,3855700,1689400,4624900,0.379125,0,0,0,1
24,3245733080,3245733080,23541,1678200,10170000,3869100,1678200,4622700,0.380442,0,0,0,1
25,3219715253,3219715253,23566,1651200,10170000,3887600,1651200,4631200,0.382262,0,0,0,1
26,3239569985,3239569985,23553,1676600,10170000,3872300,1676600,4621100,0.380757,0,0,0,1
27,3236567890,3236567890,23564,1686400,10170000,3869600,1686400,4614000,0.380492,0,0,0,1
28,3247095253,3247095253,23548,1695400,10170000,3861900,1695400,4612700,0.379735,0,0,0,1
29,3257035542,3257035542,23484,1705200,10170000,3844200,1705200,4620600,0.377994,0,0,0,1
30,3222683220,3222683220,23571,1661400,10170000,3883500,1661400,4625100,0.381858,0,0,0,1
31,3245112902,3245112902,23547,1695400,10170000,3861700,1695400,4612900,0.379715,0,0,0,1
32,3245479229,3245479229,23484,1685600,10170000,3854000,1685600,4630400,0.378958,0,0,0,1
33,3219514705,3219514705,23596,1694000,10170000,3872200,1694000,4603800,0.380747,0,0,0,1
34,3259399448,3259399448,23564,1695200,10170000,3865200,1695200,4609600,0.380059,0,0,0,1
35,3229028177,3229028177,23531,1681600,10170000,3865400,1681600,4623000,0.380079,0,0,0,1
36,3245574214,3245574214,23538,1679200,10170000,3868000,1679200,4622800,0.380334,0,0,0,1
37,3246475366,3246475366,23532,1677400,10170000,3867700,1677400,4624900,0.380305,0,0,0,1
38,3254098865,3254098865,23487,1704400,10170000,3845200,1704400,4620400,0.378092,0,0,0,1
39,3229709985,3229709985,23535,1678200,10170000,3867900,1678200,4623900,0.380324,0,0,0,1
40,3231696550,3231696550,23533,1664000,10170000,3874600,1664000,4631400,0.380983,0,0,0,1
41,3241693300,3241693300,23525,1684600,10170000,3862700,1684600,4622700,0.379813,0,0,0,1
42,3247592450,3247592450,23538,1676800,10170000,3869200,1676800,4624000,0.380452,0,0,0,1
43,3215676070,3215676070,23582,1661600,10170000,3885600,1661600,4622800,0.382065,0,0,0,1
44,3246979291,3246979291,23527,1677400,10170000,3866700,1677400,4625900,0.380206,0,0,0,1
45,3256953617,3256953617,23498,1688600,10170000,3855300,1688600,4626100,0.379086,0,0,0,1
46,3244160488,3244160488,23483,1675000,10170000,3859100,1675000,4635900,0.379459,0,0,0,1
47,3243644102,3243644102,23560,1686600,10170000,3868700,1686600,4614700,0.380403,0,0,0,1
48,3256186778,3256186778,23554,1682200,10170000,3869700,1682200,4618100,0.380501,0,0,0,1
49,3237436876,3237436876,23505,1666200,10170000,3867900,1666200,4635900,0.380324,0,0,0,1
50,3251912996,3251912996,23519,1690000,10170000,3858800,1690000,4621200,0.37943,0,0,0,1
51,3240869569,3240869569,23540,1673000,10170000,3871500,1673000,4625500,0.380678,0,0,0,1
52,3248897533.064666,3248895669,23512,1699400,10170000,3852700,1699400,4617900,0.37883,1864.064666,6.17e-4,1,1
53,3257676239,3257676239,23551,1680400,10170000,3870000,1680400,4619600,0.380531,0,0,0,1
54,3242238470,3242238470,23531,1671600,10170000,3870400,1671600,4628000,0.38057,0,0,0,1
55,3251214065,3251214065,23530,1679600,10170000,3866200,1679600,4624200,0.380157,0,0,0,1
56,3260024334,3260024334,23546,1693600,10170000,3862400,1693600,4614000,0.379784,0,0,0,1
57,3235728578,3235728578,23554,1671200,10170000,3875200,1671200,4623600,0.381042,0,0,0,1
58,3234470082,3234470082,23527,1686600,10170000,3862100,1686600,4621300,0.379754,0,0,0,1
59,3242061375,3242061375,23586,1678600,10170000,3877900,1678600,4613500,0.381308,0,0,0,1
60,3242302922,3242302922,23567,1676200,10170000,3875300,1676200,4618500,0.381052,0,0,0,1
61,3215564048,3215564048,23555,1684600,10170000,3868700,1684600,4616700,0.380403,0,0,0,1
62,3272594002,3272594002,23535,1699600,10170000,3857200,1699600,4613200,0.379272,0,0,0,1
63,3242153832,3242153832,23572,1682800,10170000,3873000,1682800,4614200,0.380826,0,0,0,1
64,3244806015,3244806015,23529,1680600,10170000,3865500,1680600,4623900,0.380088,0,0,0,1
65,3266057859,3266057859,23506,1701800,10170000,3850300,1701800,4617900,0.378594,0,0,0,1
66,3306145467,3306145467,23469,1727200,10170000,3830200,1727200,4612600,0.376618,0,0,0,1
67,3270274846,3270274846,23540,1692600,10170000,3861700,1692600,4615700,0.379715,0,0,0,1
68,3215307066,3215307066,23573,1682000,10170000,3873600,1682000,4614400,0.380885,0,0,0,1
69,3245321166,3245321166,23499,1687400,10170000,3856100,1687400,4626500,0.379164,0,0,0,1
70,3249649316,3249649316,23526,1692000,10170000,3859200,1692000,4618800,0.379469,0,0,0,1
71,3242489741,3242489741,23607,1694000,10170000,3874400,1694000,4601600,0.380964,0,0,0,1
72,3240086357,3240086357,23507,1674800,10170000,3864000,1674800,4631200,0.379941,0,0,0,1
73,3254044194,3254044194,23505,1700800,10170000,3850600,1700800,4618600,0.378623,0,0,0,1
74,3260028615,3260028615,23505,1701800,10170000,3850100,1701800,4618100,0.378574,0,0,0,1
75,3271644489,3271644489,23539,1701600,10170000,3857000,1701600,4611400,0.379253,0,0,0,1
76,3242010835,3242010835,23527,1656400,10170000,3877200,1656400,4636400,0.381239,0,0,0,1
77,3223045840,3223045840,23592,1675800,10170000,3880500,1675800,4613700,0.381563,0,0,0,1
78,3249873383,3249873383,23510,1679600,10170000,3862200,1679600,4628200,0.379764,0,0,0,1
79,3252180355,3252180355,23537,1669200,10170000,3872800,1669200,4628000,0.380806,0,0,0,1
80,3240226313,3240226313,23538,1684400,10170000,3865400,1684400,4620200,0.380079,0,0,0,1
81,3239912642,3239912642,23521,1669400,10170000,3869500,1669400,4631100,0.380482,0,0,0,1
82,3310503600,3310503600,23448,1735400,10170000,3821900,1735400,4612700,0.375801,0,0,0,1
83,3221784366,3221784366,23537,1679600,10170000,3867600,1679600,4622800,0.380295,0,0,0,1
84,3250559967,3250559967,23547,1673400,10170000,3872700,1673400,4623900,0.380796,0,0,0,1
85,3241947584,3241947584,23522,1666600,10170000,3871100,1666600,4632300,0.380639,0,0,0,1
