"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,0.100000,1.519846,0,3,0,0,yes,1.000000
71,,0.100000,0.666374,0,3,0,0,yes,1.000000
70,,0.100000,0.656149,0,3,0,0,yes,1.000000
69,,0.100000,1.668891,0,3,0,0,yes,1.000000
68,,0.100000,0.193307,0,3,0,0,yes,1.000000
67,,0.100000,1.204965,0,3,0,0,yes,1.000000
66,,0.100000,2.567949,0,3,0,0,yes,1.000000
65,,0.100000,1.892283,0,3,0,0,yes,1.000000
64,,0.100000,2.049466,0,3,0,0,yes,1.000000
63,,0.100000,2.216030,0,3,0,0,yes,1.000000
62,,0.100000,1.219408,0,3,0,0,yes,1.000000
61,,0.100000,0.709057,0,3,0,0,yes,1.000000
60,,0.100000,2.644566,0,3,0,0,yes,1.000000
59,,0.100000,2.797501,0,3,0,0,yes,1.000000
58,,0.100000,2.860842,0,3,0,0,yes,1.000000
57,,0.100000,2.000000,0,2,0,0,yes,1.000000
56,,0.100000,2.798499,0,3,0,0,yes,1.000000
55,,0.100000,0.594476,0,3,0,0,yes,1.000000
54,,0.100000,2.118396,0,3,0,0,yes,1.000000
53,,0.100000,0.281235,0,3,0,0,yes,1.000000
52,,0.100000,1.154432,0,3,0,0,yes,1.000000
51,,0.100000,1.553316,0,3,0,0,yes,1.000000
50,,0.100000,1.262035,0,3,0,0,yes,1.000000
49,,0.100000,1.697706,0,3,0,0,yes,1.000000
48,,0.100000,2.302140,0,3,0,0,yes,1.000000
47,,0.100000,0.254585,0,3,0,0,yes,1.000000
46,,0.100000,1.922472,0,3,0,0,yes,1.000000
45,,0.100000,1.892938,0,3,0,0,yes,1.000000
44,,0.100000,1.822071,0,3,0,0,yes,1.000000
43,,0.100000,1.586072,0,3,0,0,yes,1.000000
42,,0.100000,2.705528,0,3,0,0,yes,1.000000
41,,0.100000,0.591457,0,3,0,0,yes,1.000000
40,,0.100000,2.262058,0,3,0,0,yes,1.000000
39,,0.100000,1.528540,0,3,0,0,yes,1.000000
38,,0.100000,0.637074,0,3,0,0,yes,1.000000
37,,0.100000,2.741675,0,3,0,0,yes,1.000000
36,,0.100000,1.707614,0,3,0,0,yes,1.000000
35,,0.100000,0.565687,0,3,0,0,yes,1.000000
34,,0.100000,1.357185,0,3,0,0,yes,1.000000
33,,0.100000,0.814701,0,3,0,0,yes,1.000000
32,,0.100000,0.175373,0,3,0,0,yes,1.000000
31,,0.100000,0.443027,0,3,0,0,yes,1.000000
30,,0.100000,2.152955,0,3,0,0,yes,1.000000
29,,0.100000,2.556863,0,3,0,0,yes,1.000000
28,,0.100000,1.466361,0,3,0,0,yes,1.000000
27,,0.100000,1.151455,0,3,0,0,yes,1.000000
26,,0.100000,0.813697,0,3,0,0,yes,1.000000
25,,0.100000,0.253819,0,3,0,0,yes,1.000000
24,,0.100000,1.362618,0,3,0,0,yes,1.000000
23,,0.100000,2.392493,0,3,0,0,yes,1.000000
22,,0.100000,0.913226,0,3,0,0,yes,1.000000
21,,0.100000,2.169281,0,3,0,0,yes,1.000000
20,,0.100000,0.245214,0,3,0,0,yes,1.000000
19,,0.100000,2.818637,0,3,0,0,yes,1.000000
18,,0.100000,1.754377,0,3,0,0,yes,1.000000
17,,0.100000,1.287505,0,3,0,0,yes,1.000000
16,,0.100000,0.133449,0,3,0,0,yes,1.000000
15,,0.100000,1.495467,0,3,0,0,yes,1.000000
14,,0.100000,0.575808,0,3,0,0,yes,1.000000
13,,0.100000,0.791150,0,3,0,0,yes,1.000000
12,,0.100000,1.098786,0,3,0,0,yes,1.000000
11,,0.100000,2.716189,0,3,0,0,yes,1.000000
10,,0.100000,1.163735,0,3,0,0,yes,1.000000
9,,0.100000,1.688248,0,3,0,0,yes,1.000000
8,,0.100000,1.972989,0,3,0,0,yes,1.000000
7,,0.100000,1.103745,0,3,0,0,yes,1.000000
6,,0.100000,1.638501,0,3,0,0,yes,1.000000
5,,0.100000,0.781162,0,3,0,0,yes,1.000000
4,,0.100000,2.973605,0,3,0,0,yes,1.000000
3,,0.100000,0.117452,0,3,0,0,yes,1.000000
2,,0.100000,1.566914,0,3,0,0,yes,1.000000
1,,0.100000,1.695623,0,3,0,0,yes,1.000000
