"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,121424045.000000,121424045.000000,7465,755000.000000,10170000.000000,1115500.000000,755000.000000,8299500.000000,0.109685,0.000000,0.000000,0,1.000000
2,120764091.000000,120764091.000000,7535,770800.000000,10170000.000000,1121600.000000,770800.000000,8277600.000000,0.110285,0.000000,0.000000,0,1.000000
3,120526856.000000,120526856.000000,7477,746200.000000,10170000.000000,1122300.000000,746200.000000,8301500.000000,0.110354,0.000000,0.000000,0,1.000000
4,120582075.000000,120582075.000000,7478,751200.000000,10170000.000000,1120000.000000,751200.000000,8298800.000000,0.110128,0.000000,0.000000,0,1.000000
5,120371097.000000,120371097.000000,7546,750600.000000,10170000.000000,1133900.000000,750600.000000,8285500.000000,0.111495,0.000000,0.000000,0,1.000000
6,121198058.000000,121198058.000000,7501,762200.000000,10170000.000000,1119100.000000,762200.000000,8288700.000000,0.110039,0.000000,0.000000,0,1.000000
7,120744278.000000,120744278.000000,7484,751400.000000,10170000.000000,1121100.000000,751400.000000,8297500.000000,0.110236,0.000000,0.000000,0,1.000000
8,121089394.000000,121089394.000000,7496,761000.000000,10170000.000000,1118700.000000,761000.000000,8290300.000000,0.110000,0.000000,0.000000,0,1.000000
9,119703900.000000,119703900.000000,7491,754000.000000,10170000.000000,1121200.000000,754000.000000,8294800.000000,0.110246,0.000000,0.000000,0,1.000000
10,120559322.000000,120559322.000000,7528,761600.000000,10170000.000000,1124800.000000,761600.000000,8283600.000000,0.110600,0.000000,0.000000,0,1.000000
11,121509902.000000,121509902.000000,7451,763000.000000,10170000.000000,1108700.000000,763000.000000,8298300.000000,0.109017,0.000000,0.000000,0,1.000000
12,121459713.000000,121459713.000000,7470,759800.000000,10170000.000000,1114100.000000,759800.000000,8296100.000000,0.109548,0.000000,0.000000,0,1.000000
13,120906132.000000,120906132.000000,7509,762800.000000,10170000.000000,1120400.000000,762800.000000,8286800.000000,0.110167,0.000000,0.000000,0,1.000000
14,120884722.000000,120884722.000000,7487,760200.000000,10170000.000000,1117300.000000,760200.000000,8292500.000000,0.109862,0.000000,0.000000,0,1.000000
15,120581764.000000,120581764.000000,7510,755200.000000,10170000.000000,1124400.000000,755200.000000,8290400.000000,0.110560,0.000000,0.000000,0,1.000000
16,121603312.000000,121603312.000000,7430,756000.000000,10170000.000000,1108000.000000,756000.000000,8306000.000000,0.108948,0.000000,0.000000,0,1.000000
17,121031174.000000,121031174.000000,7508,748400.000000,10170000.000000,1127400.000000,748400.000000,8294200.000000,0.110855,0.000000,0.000000,0,1.000000
18,120721247.000000,120721247.000000,7477,751200.000000,10170000.000000,1119800.000000,751200.000000,8299000.000000,0.110108,0.000000,0.000000,0,1.000000
19,120695366.000000,120695366.000000,7523,755800.000000,10170000.000000,1126700.000000,755800.000000,8287500.000000,0.110787,0.000000,0.000000,0,1.000000
20,121554175.000000,121554175.000000,7504,760800.000000,10170000.000000,1120400.000000,760800.000000,8288800.000000,0.110167,0.000000,0.000000,0,1.000000
21,120799637.000000,120799637.000000,7500,755200.000000,10170000.000000,1122400.000000,755200.000000,8292400.000000,0.110364,0.000000,0.000000,0,1.000000
22,121718692.000000,121718692.000000,7503,755000.000000,10170000.000000,1123100.000000,755000.000000,8291900.000000,0.110433,0.000000,0.000000,0,1.000000
23,121713226.000000,121713226.000000,7499,772400.000000,10170000.000000,1113600.000000,772400.000000,8284000.000000,0.109499,0.000000,0.000000,0,1.000000
24,121376244.000000,121376244.000000,7481,751400.000000,10170000.000000,1120500.000000,751400.000000,8298100.000000,0.110177,0.000000,0.000000,0,1.000000
25,121068996.000000,121068996.000000,7472,747600.000000,10170000.000000,1120600.000000,747600.000000,8301800.000000,0.110187,0.000000,0.000000,0,1.000000
26,120692862.000000,120692862.000000,7476,748600.000000,10170000.000000,1120900.000000,748600.000000,8300500.000000,0.110216,0.000000,0.000000,0,1.000000
27,121014422.000000,121014422.000000,7490,764400.000000,10170000.000000,1115800.000000,764400.000000,8289800.000000,0.109715,0.000000,0.000000,0,1.000000
28,119938477.000000,119938477.000000,7472,752200.000000,10170000.000000,1118300.000000,752200.000000,8299500.000000,0.109961,0.000000,0.000000,0,1.000000
29,121621914.000000,121621914.000000,7424,764600.000000,10170000.000000,1102500.000000,764600.000000,8302900.000000,0.108407,0.000000,0.000000,0,1.000000
30,120860028.000000,120860028.000000,7504,751000.000000,10170000.000000,1125300.000000,751000.000000,8293700.000000,0.110649,0.000000,0.000000,0,1.000000
31,120026131.000000,120026131.000000,7471,747600.000000,10170000.000000,1120400.000000,747600.000000,8302000.000000,0.110167,0.000000,0.000000,0,1.000000
32,121472948.667008,121472502.000000,7455,777400.000000,10170000.000000,1102300.000000,777400.000000,8290300.000000,0.108387,446.667008,0.001072,2,1.000000
33,119581213.000000,119581213.000000,7482,743800.000000,10170000.000000,1124500.000000,743800.000000,8301700.000000,0.110570,0.000000,0.000000,0,1.000000
34,121360374.000000,121360374.000000,7474,772000.000000,10170000.000000,1108800.000000,772000.000000,8289200.000000,0.109027,0.000000,0.000000,0,1.000000
35,120458113.000000,120458113.000000,7483,748000.000000,10170000.000000,1122600.000000,748000.000000,8299400.000000,0.110383,0.000000,0.000000,0,1.000000
36,120465631.000000,120465631.000000,7511,739200.000000,10170000.000000,1132600.000000,739200.000000,8298200.000000,0.111367,0.000000,0.000000,0,1.000000
37,120774297.298945,120774182.000000,7497,741000.000000,10170000.000000,1128900.000000,741000.000000,8300100.000000,0.111003,115.298945,0.000279,1,1.000000
38,120605820.000000,120605820.000000,7464,753800.000000,10170000.000000,1115900.000000,753800.000000,8300300.000000,0.109725,0.000000,0.000000,0,1.000000
39,121779634.000000,121779634.000000,7458,770600.000000,10170000.000000,1106300.000000,770600.000000,8293100.000000,0.108781,0.000000,0.000000,0,1.000000
40,120687441.000000,120687441.000000,7489,761800.000000,10170000.000000,1116900.000000,761800.000000,8291300.000000,0.109823,0.000000,0.000000,0,1.000000
41,120925566.000000,120925566.000000,7505,755800.000000,10170000.000000,1123100.000000,755800.000000,8291100.000000,0.110433,0.000000,0.000000,0,1.000000
42,121053652.000000,121053652.000000,7492,765800.000000,10170000.000000,1115500.000000,765800.000000,8288700.000000,0.109685,0.000000,0.000000,0,1.000000
43,120294860.000000,120294860.000000,7513,750400.000000,10170000.000000,1127400.000000,750400.000000,8292200.000000,0.110855,0.000000,0.000000,0,1.000000
44,121219020.000000,121219020.000000,7508,768600.000000,10170000.000000,1117300.000000,768600.000000,8284100.000000,0.109862,0.000000,0.000000,0,1.000000
45,120389413.000000,120389413.000000,7482,755000.000000,10170000.000000,1118900.000000,755000.000000,8296100.000000,0.110020,0.000000,0.000000,0,1.000000
46,121272577.000000,121272577.000000,7448,742000.000000,10170000.000000,1118600.000000,742000.000000,8309400.000000,0.109990,0.000000,0.000000,0,1.000000
47,121314461.000000,121314461.000000,7487,756200.000000,10170000.000000,1119300.000000,756200.000000,8294500.000000,0.110059,0.000000,0.000000,0,1.000000
48,120985156.000000,120985156.000000,7462,759800.000000,10170000.000000,1112500.000000,759800.000000,8297700.000000,0.109390,0.000000,0.000000,0,1.000000
49,120506472.383793,120506332.000000,7493,757800.000000,10170000.000000,1119700.000000,757800.000000,8292500.000000,0.110098,140.383793,0.000148,1,1.000000
50,120482412.000000,120482412.000000,7501,759200.000000,10170000.000000,1120600.000000,759200.000000,8290200.000000,0.110187,0.000000,0.000000,0,1.000000
51,120145046.000000,120145046.000000,7468,751000.000000,10170000.000000,1118100.000000,751000.000000,8300900.000000,0.109941,0.000000,0.000000,0,1.000000
52,120655366.000000,120655366.000000,7519,753400.000000,10170000.000000,1127100.000000,753400.000000,8289500.000000,0.110826,0.000000,0.000000,0,1.000000
53,120456426.000000,120456426.000000,7502,759400.000000,10170000.000000,1120700.000000,759400.000000,8289900.000000,0.110197,0.000000,0.000000,0,1.000000
54,121160609.000000,121160609.000000,7416,742000.000000,10170000.000000,1112200.000000,742000.000000,8315800.000000,0.109361,0.000000,0.000000,0,1.000000
55,120351921.850062,120351360.000000,7476,759800.000000,10170000.000000,1115300.000000,759800.000000,8294900.000000,0.109666,561.850062,0.000592,1,1.000000
56,120397536.000000,120397536.000000,7472,755000.000000,10170000.000000,1116900.000000,755000.000000,8298100.000000,0.109823,0.000000,0.000000,0,1.000000
57,121102072.000000,121102072.000000,7497,763400.000000,10170000.000000,1117700.000000,763400.000000,8288900.000000,0.109902,0.000000,0.000000,0,1.000000
58,121244726.000000,121244726.000000,7504,754400.000000,10170000.000000,1123600.000000,754400.000000,8292000.000000,0.110482,0.000000,0.000000,0,1.000000
59,120648257.000000,120648257.000000,7498,759200.000000,10170000.000000,1120000.000000,759200.000000,8290800.000000,0.110128,0.000000,0.000000,0,1.000000
60,120890150.000000,120890150.000000,7468,750400.000000,10170000.000000,1118400.000000,750400.000000,8301200.000000,0.109971,0.000000,0.000000,0,1.000000
61,122199131.000000,122199131.000000,7432,766800.000000,10170000.000000,1103000.000000,766800.000000,8300200.000000,0.108456,0.000000,0.000000,0,1.000000
62,120921645.000000,120921645.000000,7432,766600.000000,10170000.000000,1103100.000000,766600.000000,8300300.000000,0.108466,0.000000,0.000000,0,1.000000
63,120691622.000000,120691622.000000,7494,759800.000000,10170000.000000,1118900.000000,759800.000000,8291300.000000,0.110020,0.000000,0.000000,0,1.000000
64,119934093.000000,119934093.000000,7491,747000.000000,10170000.000000,1124700.000000,747000.000000,8298300.000000,0.110590,0.000000,0.000000,0,1.000000
65,121873981.000000,121873981.000000,7522,771400.000000,10170000.000000,1118700.000000,771400.000000,8279900.000000,0.110000,0.000000,0.000000,0,1.000000
66,119964032.000000,119964032.000000,7491,730400.000000,10170000.000000,1133000.000000,730400.000000,8306600.000000,0.111406,0.000000,0.000000,0,1.000000
67,120929238.000000,120929238.000000,7493,765800.000000,10170000.000000,1115700.000000,765800.000000,8288500.000000,0.109705,0.000000,0.000000,0,1.000000
68,120770872.000000,120770872.000000,7480,751400.000000,10170000.000000,1120300.000000,751400.000000,8298300.000000,0.110157,0.000000,0.000000,0,1.000000
69,119798045.000000,119798045.000000,7478,748200.000000,10170000.000000,1121500.000000,748200.000000,8300300.000000,0.110275,0.000000,0.000000,0,1.000000
70,121357267.000000,121357267.000000,7445,761600.000000,10170000.000000,1108200.000000,761600.000000,8300200.000000,0.108968,0.000000,0.000000,0,1.000000
71,120835182.000000,120835182.000000,7466,753000.000000,10170000.000000,1116700.000000,753000.000000,8300300.000000,0.109803,0.000000,0.000000,0,1.000000
72,121900983.000000,121900983.000000,7452,777400.000000,10170000.000000,1101700.000000,777400.000000,8290900.000000,0.108328,0.000000,0.000000,0,1.000000
73,121008857.000000,121008857.000000,7504,758600.000000,10170000.000000,1121500.000000,758600.000000,8289900.000000,0.110275,0.000000,0.000000,0,1.000000
74,120069714.000000,120069714.000000,7456,749600.000000,10170000.000000,1116400.000000,749600.000000,8304000.000000,0.109774,0.000000,0.000000,0,1.000000
75,121340976.000000,121340976.000000,7465,757800.000000,10170000.000000,1114100.000000,757800.000000,8298100.000000,0.109548,0.000000,0.000000,0,1.000000
76,121139499.000000,121139499.000000,7498,765400.000000,10170000.000000,1116900.000000,765400.000000,8287700.000000,0.109823,0.000000,0.000000,0,1.000000
77,120868334.000000,120868334.000000,7489,758600.000000,10170000.000000,1118500.000000,758600.000000,8292900.000000,0.109980,0.000000,0.000000,0,1.000000
78,120992022.000000,120992022.000000,7495,763000.000000,10170000.000000,1117500.000000,763000.000000,8289500.000000,0.109882,0.000000,0.000000,0,1.000000
79,121445378.000000,121445378.000000,7495,763600.000000,10170000.000000,1117200.000000,763600.000000,8289200.000000,0.109853,0.000000,0.000000,0,1.000000
80,121073860.000000,121073860.000000,7524,752000.000000,10170000.000000,1128800.000000,752000.000000,8289200.000000,0.110993,0.000000,0.000000,0,1.000000
81,121188531.345442,121187996.000000,7506,768400.000000,10170000.000000,1117000.000000,768400.000000,8284600.000000,0.109833,535.345442,0.000564,1,1.000000
82,121600861.520420,121600733.000000,7469,763000.000000,10170000.000000,1112300.000000,763000.000000,8294700.000000,0.109371,128.520420,0.000135,1,1.000000
83,120920300.000000,120920300.000000,7467,762200.000000,10170000.000000,1112300.000000,762200.000000,8295500.000000,0.109371,0.000000,0.000000,0,1.000000
84,120897169.000000,120897169.000000,7464,750600.000000,10170000.000000,1117500.000000,750600.000000,8301900.000000,0.109882,0.000000,0.000000,0,1.000000
85,122003527.000000,122003527.000000,7472,768000.000000,10170000.000000,1110400.000000,768000.000000,8291600.000000,0.109184,0.000000,0.000000,0,1.000000
86,120481186.000000,120481186.000000,7479,761200.000000,10170000.000000,1115200.000000,761200.000000,8293600.000000,0.109656,0.000000,0.000000,0,1.000000
87,119816006.000000,119816006.000000,7532,755200.000000,10170000.000000,1128800.000000,755200.000000,8286000.000000,0.110993,0.000000,0.000000,0,1.000000
88,120704677.000000,120704677.000000,7522,760400.000000,10170000.000000,1124200.000000,760400.000000,8285400.000000,0.110541,0.000000,0.000000,0,1.000000
89,121139121.000000,121139121.000000,7481,757600.000000,10170000.000000,1117400.000000,757600.000000,8295000.000000,0.109872,0.000000,0.000000,0,1.000000
90,120649487.297261,120648993.000000,7513,754800.000000,10170000.000000,1125200.000000,754800.000000,8290000.000000,0.110639,494.297261,0.000520,1,1.000000
91,121354413.000000,121354413.000000,7479,762600.000000,10170000.000000,1114500.000000,762600.000000,8292900.000000,0.109587,0.000000,0.000000,0,1.000000
92,120951671.000000,120951671.000000,7512,763000.000000,10170000.000000,1120900.000000,763000.000000,8286100.000000,0.110216,0.000000,0.000000,0,1.000000
93,120490557.000000,120490557.000000,7508,762000.000000,10170000.000000,1120600.000000,762000.000000,8287400.000000,0.110187,0.000000,0.000000,0,1.000000
94,120161388.000000,120161388.000000,7500,750400.000000,10170000.000000,1124800.000000,750400.000000,8294800.000000,0.110600,0.000000,0.000000,0,1.000000
95,121265621.000000,121265621.000000,7443,759800.000000,10170000.000000,1108700.000000,759800.000000,8301500.000000,0.109017,0.000000,0.000000,0,1.000000
96,121183383.000000,121183383.000000,7472,757200.000000,10170000.000000,1115800.000000,757200.000000,8297000.000000,0.109715,0.000000,0.000000,0,1.000000
97,120857410.000000,120857410.000000,7465,770000.000000,10170000.000000,1108000.000000,770000.000000,8292000.000000,0.108948,0.000000,0.000000,0,1.000000
98,121157115.000000,121157115.000000,7444,767600.000000,10170000.000000,1105000.000000,767600.000000,8297400.000000,0.108653,0.000000,0.000000,0,1.000000
99,120942797.000000,120942797.000000,7468,764000.000000,10170000.000000,1111600.000000,764000.000000,8294400.000000,0.109302,0.000000,0.000000,0,1.000000
100,121341977.000000,121341977.000000,7471,767600.000000,10170000.000000,1110400.000000,767600.000000,8292000.000000,0.109184,0.000000,0.000000,0,1.000000
