PUID,SOLUTION
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,1
45,0
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,0
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,1
238,1
239,1
240,0
241,0
242,0
243,0
244,1
245,1
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,0
264,0
265,1
266,0
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,1
276,0
277,1
278,1
