"planning_unit","number"
50625,26
50624,68
50623,85
50622,42
50621,4
50620,4
50619,10
50618,0
50617,0
50616,17
50615,0
50614,0
50613,78
50612,100
50611,100
50610,100
50609,100
50608,100
50607,100
50606,100
50605,100
50604,100
50603,100
50602,100
50601,100
50600,100
50599,100
50598,100
50597,100
50596,100
50595,100
50594,100
50593,100
50592,100
50591,98
50590,96
50589,96
50588,98
50587,75
50586,25
50585,25
50584,24
50583,6
50582,0
50581,0
50580,0
50579,0
50578,0
50577,0
50576,0
50575,1
50574,4
50573,2
50572,16
50571,22
50570,10
50569,15
50568,7
50567,5
50566,12
50565,61
50564,46
50563,21
50562,25
50561,81
50560,97
50559,99
50558,100
50557,100
50556,100
50555,92
50554,81
50553,95
50552,100
50551,13
50550,0
50549,0
50548,6
50547,95
50546,76
50545,92
50544,63
50543,52
50542,17
50541,10
50540,21
50539,27
50538,37
50537,65
50536,1
50535,0
50534,100
50533,100
50532,100
50531,3
50530,0
50529,0
50528,0
50527,0
50526,1
50525,8
50524,1
50523,1
50522,0
50521,0
50520,0
50519,3
50518,98
50517,100
50516,100
50515,100
50514,100
50513,98
50512,99
50511,55
50510,0
50509,0
50508,0
50507,0
50506,3
50505,0
50504,0
50503,0
50502,74
50501,2
50500,0
50499,0
50498,81
50497,54
50496,9
50495,0
50494,0
50493,0
50492,0
50491,0
50490,0
50489,37
50488,13
50487,0
50486,0
50485,73
50484,100
50483,98
50482,97
50481,89
50480,72
50479,57
50478,53
50477,75
50476,86
50475,52
50474,100
50473,84
50472,33
50471,11
50470,11
50469,24
50468,5
50467,1
50466,0
50465,0
50464,0
50463,0
50462,0
50461,0
50460,0
50459,1
50458,0
50457,0
50456,0
50455,0
50454,1
50453,0
50452,0
50451,1
50450,0
50449,0
50448,0
50447,0
50446,4
50445,12
50444,14
50443,11
50442,3
50441,0
50440,5
50439,45
50438,24
50437,0
50436,1
50435,3
50434,0
50433,0
50432,0
50431,0
50430,0
50429,25
50428,96
50427,84
50426,88
50425,89
50424,88
50423,86
50422,94
50421,92
50420,82
50419,94
50418,71
50417,8
50416,10
50415,25
50414,21
50413,71
50412,99
50411,98
50410,94
50409,23
50408,0
50407,0
50406,0
50405,0
50404,0
50403,0
50402,0
50401,0
50400,0
50399,44
50398,76
50397,19
50396,3
50395,10
50394,6
50393,2
50392,0
50391,11
50390,77
50389,100
50388,100
50387,100
50386,100
50385,100
50384,100
50383,100
50382,100
50381,100
50380,100
50379,100
50378,100
50377,100
50376,100
50375,100
50374,100
50373,100
50372,100
50371,100
50370,100
50369,100
50368,100
50367,100
50366,100
50365,98
50364,99
50363,96
50362,55
50361,33
50360,50
