id,cost,status
1,4018347,0
2,4115130,0
3,4536647,0
4,3896336,0
5,3541155,0
6,4692785,0
7,4659120,0
8,4439795,0
9,3634480,0
10,5390263,0
11,5454482,0
12,2487510,0
13,719560,0
14,1306495,0
15,3685198,0
16,2788096,0
17,3184226,0
18,2168078,0
19,629396,0
20,552071,0
21,512789,0
22,599155,0
23,544755,0
24,298572,0
25,203556,0
26,134947,0
27,77353,0
28,86767,0
29,89859,0
30,60569,0
31,46353,0
32,227891,0
33,253446,0
34,233949,0
35,250231,0
36,322270,0
37,326117,0
38,475404,0
39,274833,0
40,312588,0
41,346329,0
42,406466,0
43,294801,0
44,368821,0
45,414283,0
46,264826,0
47,248370,0
48,177456,0
49,256756,0
50,593898,0
51,480582,0
52,367676,0
53,341948,0
54,495775,0
55,416661,0
56,90840,0
57,95129,0
58,760541,0
59,1023809,0
60,734809,0
61,774552,0
62,608557,0
63,592827,0
64,370972,0
65,262963,0
66,533570,0
67,739964,0
68,600570,0
69,601852,0
70,727785,0
71,846918,0
72,979602,0
73,751211,0
74,948984,0
75,1129355,0
76,735410,0
77,886524,0
78,1146529,0
79,579289,0
80,546202,0
81,356780,0
82,172063,0
83,41000,0
84,6105,0
85,8199,0
86,9247,0
87,8674,0
88,6809,0
89,4771,0
90,4605,0
91,4605,0
92,14033,0
93,16471,0
94,16510,0
95,16510,0
96,16510,0
97,15307,0
98,12611,0
99,11840,0
100,12233,0
101,18141,0
102,22297,0
103,22297,0
104,22297,0
105,22297,0
106,22297,0
107,22297,0
108,22293,0
109,22124,0
110,21980,0
111,21980,0
112,21980,0
113,21980,0
114,21641,0
115,21035,0
116,20951,0
117,20951,0
118,20951,0
119,20925,0
120,20864,0
121,20841,0
122,20841,0
123,20841,0
124,20659,0
125,12760,0
126,6111,0
127,6113,0
128,6120,0
129,6192,0
130,6239,0
131,6239,0
132,28204,0
133,141418,0
134,167670,0
135,100082,0
136,64257,0
137,29578,0
138,28156,0
139,29505,0
140,31993,0
141,941567,0
142,2513356,0
143,2701728,0
144,1556087,0
145,313969,0
146,764307,0
147,2504621,0
148,1771582,0
149,1144979,0
150,1169019,0
151,1331189,0
152,1602030,0
153,1553464,0
154,2400556,0
155,1937316,0
156,1110976,0
157,1639887,0
158,2151985,0
159,2026782,0
160,1979850,0
161,2191092,0
162,2129677,0
163,2005113,0
164,1735691,0
165,2533356,0
166,2346978,0
167,2406321,0
168,2112352,0
169,2166926,0
170,2110232,0
171,2021382,0
172,1568908,0
173,673506,0
174,23862,0
175,21779,0
176,13828,0
177,11522,0
178,11522,0
179,8250,0
180,5373,0
181,4079,0
182,5306,0
183,7624,0
184,7997,0
185,8544,0
186,10738,0
187,11692,0
188,11086,0
189,8334,0
190,6819,0
191,6819,0
192,6868,0
193,7128,0
194,7254,0
195,9220,0
196,14971,0
197,15095,0
198,15095,0
199,15095,0
200,15798,0
201,18100,0
202,18874,0
203,19675,0
204,42481,0
205,25252,0
206,10792,0
207,11313,0
208,11391,0
209,11598,0
210,11655,0
211,11655,0
212,13714,0
213,18436,0
214,19612,0
215,18349,0
216,15107,0
217,11197,0
218,12101,0
219,10866,0
220,10113,0
221,11344,0
222,11841,0
223,11841,0
224,10966,0
225,8553,0
226,4290146,0
227,3977124,0
228,4368057,0
229,2698716,0
230,2605120,0
231,4510863,0
232,4419962,0
233,3624142,0
234,3239648,0
235,4446551,0
236,3092634,0
237,889626,0
238,276685,0
239,601127,0
240,2469451,0
241,3503550,0
242,3730965,0
243,2404690,0
244,518343,0
245,447582,0
246,298992,0
247,324433,0
248,419369,0
249,249819,0
250,204952,0
251,135147,0
252,63888,0
253,76158,0
254,80673,0
255,60027,0
256,53592,0
257,158058,0
258,193027,0
259,197329,0
260,203591,0
261,175357,0
262,204061,0
263,326725,0
264,294607,0
265,211812,0
266,221698,0
267,234311,0
268,245752,0
269,286156,0
270,304872,0
271,323513,0
272,327678,0
273,290914,0
274,386902,0
275,520762,0
276,423156,0
277,253474,0
278,267064,0
279,556093,0
280,551736,0
281,188259,0
282,295716,0
283,407592,0
284,485226,0
285,683067,0
286,805045,0
287,643764,0
288,644464,0
289,367654,0
290,292648,0
291,477490,0
292,661425,0
293,525201,0
294,458329,0
295,731547,0
296,927949,0
297,926856,0
298,546988,0
299,585686,0
300,1180696,0
301,1024253,0
302,1065790,0
303,1285349,0
304,537078,0
305,450515,0
