"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
72,,19842.804564,20285.429516,0,40888,0,0,yes,1.000000
71,,12081.741608,12587.412899,0,40888,0,0,yes,1.000000
70,,9996.729201,10340.926410,0,40888,0,0,yes,1.000000
69,,23717.863333,23977.673151,0,40888,0,0,yes,1.000000
68,,5967.046289,6530.643325,0,40888,0,0,yes,1.000000
67,,19658.279972,20122.624572,0,40888,0,0,yes,1.000000
66,,22725.451125,22958.238385,0,40888,0,0,yes,1.000000
65,,27824.555708,28302.843160,0,40888,0,0,yes,1.000000
64,,24022.549972,24621.192383,0,40888,0,0,yes,1.000000
63,,26204.809563,26204.810119,0,40888,0,0,yes,1.000000
62,,14068.067595,14792.890151,0,40888,0,0,yes,1.000000
61,,8127.348253,8151.654264,0,40888,0,0,yes,1.000000
60,,26146.734189,26957.530519,0,40888,0,0,yes,1.000000
59,,34577.609748,34904.215336,0,40888,0,0,yes,1.000000
58,,35057.872207,35358.826740,0,40888,0,0,yes,1.000000
57,,39783.560742,40156.792672,0,40194,0,0,yes,1.000000
56,,34630.386919,35227.140720,0,40888,0,0,yes,1.000000
55,,9698.438923,10407.073092,0,40888,0,0,yes,1.000000
54,,27152.170549,27755.161413,0,40888,0,0,yes,1.000000
53,,6287.723766,6288.116327,0,40888,0,0,yes,1.000000
52,,15322.486014,15943.679300,0,40888,0,0,yes,1.000000
51,,22031.856455,23040.149424,0,40888,0,0,yes,1.000000
50,,21008.061018,21044.071882,0,40888,0,0,yes,1.000000
49,,19824.482480,20011.399460,0,40888,0,0,yes,1.000000
48,,25829.149995,25973.899648,0,40888,0,0,yes,1.000000
47,,679.741724,694.317521,0,40888,0,0,yes,1.000000
46,,22855.096747,23258.189075,0,40888,0,0,yes,1.000000
45,,26730.461473,26730.695314,0,40888,0,0,yes,1.000000
44,,26018.134455,26266.180329,0,40888,0,0,yes,1.000000
43,,17387.971248,17603.975710,0,40888,0,0,yes,1.000000
42,,27133.765614,27519.482405,0,40888,0,0,yes,1.000000
41,,3327.283551,3376.904899,0,40888,0,0,yes,1.000000
40,,19364.548516,19824.481219,0,40888,0,0,yes,1.000000
39,,20044.486432,20063.392633,0,40888,0,0,yes,1.000000
38,,6645.925685,7427.349844,0,40888,0,0,yes,1.000000
37,,35683.833006,35942.983777,0,40888,0,0,yes,1.000000
36,,20667.635234,21355.267262,0,40888,0,0,yes,1.000000
35,,5762.172564,6192.999806,0,40888,0,0,yes,1.000000
34,,16650.149297,16807.593496,0,40888,0,0,yes,1.000000
33,,5585.142071,5757.092466,0,40888,0,0,yes,1.000000
32,,8925.542415,8925.562848,0,40888,0,0,yes,1.000000
31,,12897.161691,12915.362025,0,40888,0,0,yes,1.000000
30,,17591.414138,17779.244239,0,40888,0,0,yes,1.000000
29,,30088.740955,30205.575478,0,40888,0,0,yes,1.000000
28,,20314.119867,21051.745691,0,40888,0,0,yes,1.000000
27,,13954.163832,14132.915881,0,40888,0,0,yes,1.000000
26,,19096.078557,19443.917209,0,40888,0,0,yes,1.000000
25,,5453.203098,5886.275004,0,40888,0,0,yes,1.000000
24,,24040.369605,24491.373561,0,40888,0,0,yes,1.000000
23,,33860.302995,33881.449644,0,40888,0,0,yes,1.000000
22,,16875.812353,17227.446361,0,40888,0,0,yes,1.000000
21,,17853.919914,18397.021409,0,40888,0,0,yes,1.000000
20,,4464.355242,4665.002076,0,40888,0,0,yes,1.000000
19,,31929.805927,32106.502608,0,40888,0,0,yes,1.000000
18,,24661.190497,25199.019514,0,40888,0,0,yes,1.000000
17,,17091.297785,17552.299260,0,40888,0,0,yes,1.000000
16,,12918.288231,12919.632055,0,40888,0,0,yes,1.000000
15,,23016.762071,23263.738609,0,40888,0,0,yes,1.000000
14,,6420.223733,6874.332771,0,40888,0,0,yes,1.000000
13,,5445.958389,5593.676927,0,40888,0,0,yes,1.000000
12,,17365.645799,18031.630100,0,40888,0,0,yes,1.000000
11,,31424.425482,32170.050757,0,40888,0,0,yes,1.000000
10,,20061.398515,20182.640273,0,40888,0,0,yes,1.000000
9,,11292.002200,11333.421971,0,40888,0,0,yes,1.000000
8,,17545.103907,17721.363834,0,40888,0,0,yes,1.000000
7,,13083.844178,13815.647934,0,40888,0,0,yes,1.000000
6,,15310.869585,16108.953501,0,40888,0,0,yes,1.000000
5,,20848.165178,20848.291068,0,40888,0,0,yes,1.000000
4,,39994.938132,40410.385658,0,40888,0,0,yes,1.000000
3,,2732.832935,3097.197156,0,40888,0,0,yes,1.000000
2,,25866.792503,26461.529672,0,40888,0,0,yes,1.000000
1,,29579.491095,29740.398772,0,40888,0,0,yes,1.000000
